Directive:   #include
Library:    <stdio.h>
DataType:   int
Function:   main
Delimiter:   (
Delimiter:   )
Delimiter:   {
DataType:   int
Variable:   num1
Delimiter:   ,
Variable:   num2
Delimiter:   ,
Variable:   num3
Delimiter:   ,
Variable:   sum
Delimiter:   ;
Variable:   num1
Operator:   =
Number:   56
Delimiter:   ;
Variable:   num2
Operator:   =
BinNumber:   0b101
Delimiter:   ;
Variable:   num3
Operator:   =
HexNumber:   0x10F
DataType:   float
Variable:   float_num
Operator:   =
Number:   0.1111
Delimiter:   ;
Variable:   sum
Operator:   =
Variable:   num1
Operator:   +
Variable:   num2
Operator:   +
Variable:   num3
Delimiter:   ;
Comment:   // Display the result
FunctionCall:   printf
Delimiter:   (
String:   "The sum of %d, %d, and %d is: %d\n"
Delimiter:   ,
Variable:   num1
Delimiter:   ,
Variable:   num2
Delimiter:   ,
Variable:   num3
Delimiter:   ,
Variable:   sum
Delimiter:   )
Delimiter:   ;
FunctionCall:   printf
Delimiter:   (
String:   "рандомні літерки"
Delimiter:   )
Delimiter:   ;
Uncategorized: укр_текст
Reserved:   return
Number:   0
Delimiter:   ;
Delimiter:   }
